Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,lrichard,2388292,2021-05-27T03:52:39,2021-05-27T12:45:17,25,8:52:38,"billing=125,cpu=25,mem=500G,n+",9-05:55:50,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2393719,2021-05-27T07:27:42,2021-05-27T16:25:17,8,8:57:35,"billing=20,cpu=8,mem=80G,node+",2-23:40:40,,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2394718,2021-05-27T07:40:31,2021-05-27T07:40:31,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,pluo,2394867,2021-05-27T07:42:42,2021-05-28T20:37:11,3,1-12:54:29,"billing=25,cpu=3,mem=100G,nod+",4-14:43:27,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2395740,2021-05-27T09:54:20,2021-05-27T09:54:20,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
bhklab,lin,2396034,2021-05-27T11:39:42,2021-05-27T13:40:00,10,2:00:18,"billing=30,cpu=10,mem=120G,no+",20:03:00,97283620K,97283620K,0,node96,,node96,0:00,TIMEOUT,,,
pughlab,lrichard,2388293,2021-05-27T12:45:39,2021-05-27T15:19:24,25,2:33:45,"billing=125,cpu=25,mem=500G,n+",2-16:03:45,,,,,,node96,1:00,FAILED,,,
bhklab,lin,2396575,2021-05-27T13:45:42,2021-05-27T14:40:56,10,0:55:14,"billing=30,cpu=10,mem=120G,no+",9:12:20,90416572K,90416572K,0,node96,,node96,0:00,CANCELLED by 27138,,,
bhklab,lin,2396611,2021-05-27T14:59:14,2021-05-27T14:59:14,20,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 27138,,,
pughlab,lrichard,2388294,2021-05-27T15:19:39,2021-05-27T17:54:51,25,2:35:12,"billing=125,cpu=25,mem=500G,n+",2-16:40:00,,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2396675,2021-05-27T15:55:25,2021-05-27T15:55:25,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
bhklab,lin,2396645,2021-05-27T16:25:39,2021-05-27T18:18:05,20,1:52:26,"billing=27,cpu=20,mem=110G,no+",1-13:28:40,87873392K,87873392K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,kuichen,2396685,2021-05-27T17:55:39,2021-05-27T19:11:40,8,1:16:01,"billing=50,cpu=8,mem=200G,nod+",10:08:08,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2396734,2021-05-27T18:42:21,2021-05-28T05:29:35,8,10:47:14,"billing=20,cpu=8,mem=80G,node+",3-14:17:52,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2396735,2021-05-27T18:42:21,2021-05-28T05:30:31,8,10:48:10,"billing=20,cpu=8,mem=80G,node+",3-14:25:20,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2396736,2021-05-27T18:42:21,2021-05-28T05:30:51,8,10:48:30,"billing=20,cpu=8,mem=80G,node+",3-14:28:00,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2396737,2021-05-27T18:42:21,2021-05-28T05:48:40,8,11:06:19,"billing=20,cpu=8,mem=80G,node+",3-16:50:32,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2397245,2021-05-27T23:50:44,2021-05-27T23:50:44,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,pluo,2397247,2021-05-27T23:51:09,2021-05-29T04:40:17,3,1-04:49:08,"billing=25,cpu=3,mem=100G,nod+",3-14:27:24,,,,,,node96,0:00,COMPLETED,,,
